"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W41","Arr. Diksmuide","Number","Total","90 years or over",":"
"2020W99","Arr. Diksmuide","Number","Total","90 years or over",":"
"2020W28","Arr. Ieper","Number","Total","90 years or over","3"
"2020W29","Arr. Ieper","Number","Total","90 years or over","5"
"2020W30","Arr. Ieper","Number","Total","90 years or over","8"
"2020W31","Arr. Ieper","Number","Total","90 years or over","10"
"2020W32","Arr. Ieper","Number","Total","90 years or over","5"
"2020W33","Arr. Ieper","Number","Total","90 years or over","14"
"2020W34","Arr. Ieper","Number","Total","90 years or over","6"
"2020W35","Arr. Ieper","Number","Total","90 years or over","5"
"2020W36","Arr. Ieper","Number","Total","90 years or over","5"
