type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,SSD,,1584662400000.0,1ece5741-c927-4c34-ae31-e8a4efec63b8,2020-03-20,Churches,1
work restrictions,USA,USA-DE,1584921600000.0,82d5a45e-1a95-425d-a4bc-cd70475419c6,2020-03-23,Mandatory work from home enforcement for non-essential workers,1
work restrictions,USA,USA-DE,1589068800000.0,e4b8dbc2-f1dd-44b9-952b-91e52ff12e37,2020-05-10,Mandatory work from home enforcement for non-essential workers,1
school closure,USA,USA-DE,1584403200000.0,38189639-d57e-40bd-bd90-b37efa87da87,2020-03-17,Universities closed,1
entertainment/cultural sector closure,USA,USA-DE,1584316800000.0,7df0ee62-637c-4045-9b02-e26f964c931d,2020-03-16,Parks and public gardens,1
entertainment/cultural sector closure,USA,USA-DE,1584403200000.0,22d1a4bb-a2ea-4cad-89aa-2cbe1c1f969f,2020-03-17,"Museums, theaters, cinema, libraries, festivities",1
confinement,NAM,,1586822400000.0,2a104943-1148-4718-b98e-551c4ac3b800,2020-04-14,na,1
confinement,NAM,,1588723200000.0,fa8cc857-f5fc-4637-9bb9-345d2d7f2221,2020-05-06,na,1
entertainment/cultural sector closure,NAM,,1585267200000.0,ea29ecbd-84c7-4ad8-a7aa-678eab5f5108,2020-03-27,"Bars, restaurants, night clubs",1
school closure,USA,USA-DE,1583971200000.0,e38ce939-e45b-46d5-b6f1-76fa3fff6047,2020-03-12,Universities closed,1
public services closure,NAM,,1585267200000.0,66d69ea2-8e54-4d4c-921d-eae96cdd0e05,2020-03-27,Government/parliament system,1
mask wearing,USA,USA-DE,1587772800000.0,55f4b8ba-5dc7-40f0-983b-ce55922b35e4,2020-04-25,Recommended,1
school closure,USA,USA-DE,1584489600000.0,842e4d0b-d68e-4131-9dfa-db0886c4975b,2020-03-18,All schools (general) closed,1
entertainment/cultural sector closure,USA,USA-DE,1584316800000.0,508eba21-fb3e-40d3-924d-3a84485176c8,2020-03-16,"Bars, restaurants, night clubs",1
confinement,USA,USA-DE,1584921600000.0,09ca8cb8-3f03-43af-a743-9340a1448158,2020-03-23,Mandatory/advisedfor all the population,1
school closure,SSD,,1584662400000.0,c2e58a31-189e-4fbe-928e-bd6d35e85931,2020-03-20,All schools (general) closed,1
mass gatherings,USA,USA-DE,1583971200000.0,79357454-ca3f-46b7-a5f0-daff925480a6,2020-03-12,100,1
confinement,USA,USA-DE,1589068800000.0,5643d702-e87d-45ad-8bd2-50118b2a2aa8,2020-05-10,Mandatory/advisedfor all the population,1
confinement,NAM,,1588550400000.0,ea6f1aff-9026-4462-8750-98e5ab7df0bd,2020-05-04,Mandatory/advisedfor all the population,1
state of emergency (legal impact),USA,USA-NY,1584316800000.0,81a16647-ce61-4dc0-9580-b7ab58415db6,2020-03-16,na,1
