flow,origin,destination
0.0,24,99
0.0,24,100
0.0,24,103
0.0,24,108
0.0,25,1
0.0,25,5
0.0,25,13
0.0,25,14
0.0,25,15
0.0,25,16
0.0,25,17
0.0,25,18
0.0,25,19
0.0,25,20
0.0,25,21
0.0,25,22
0.0,25,23
0.0042,25,24
0.9833,25,25
0.0042,25,26
0.0,25,27
0.0,25,28
0.0,25,29
0.0042,25,30
0.0,25,31
0.0,25,32
0.0,25,33
0.0,25,35
0.0,25,36
0.0,25,37
0.0,25,38
0.0,25,39
0.0,25,40
0.0,25,41
0.0,25,42
0.0,25,45
0.0,25,48
0.0,25,49
0.0,25,51
0.0,25,52
0.0,25,55
0.0,25,58
0.0,25,60
0.0,25,80
0.0,25,90
0.0042,25,93
0.0,25,97
0.0,25,99
0.0,25,103
0.0,25,108
0.0,26,1
0.0,26,2
0.0,26,3
0.0,26,4
0.0,26,6
0.0,26,10
0.0,26,11
0.0,26,12
0.0,26,13
0.0,26,14
0.0,26,15
0.0,26,16
0.0,26,17
0.0,26,18
0.0,26,19
0.0,26,20
0.0,26,21
0.0,26,22
0.0,26,23
0.0016,26,24
0.0016,26,25
0.9756,26,26
0.0146,26,27
0.0032,26,28
0.0,26,29
0.0,26,30
0.0,26,31
0.0,26,32
0.0,26,33
0.0,26,34
0.0,26,35
0.0,26,36
0.0,26,37
0.0,26,38
0.0,26,39
0.0,26,40
0.0,26,41
0.0,26,42
0.0,26,46
0.0,26,47
0.0,26,48
0.0,26,50
0.0,26,52
0.0,26,53
0.0,26,54
0.0,26,57
0.0,26,58
0.0,26,59
0.0,26,60
0.0,26,61
0.0,26,63
0.0,26,67
0.0,26,68
0.0,26,72
0.0,26,74
0.0,26,75
0.0,26,79
0.0,26,82
0.0,26,86
0.0,26,87
0.0,26,92
0.0032,26,93
0.0,26,98
0.0,26,99
0.0,26,108
0.0,27,1
0.0,27,3
0.0,27,4
0.0,27,6
0.0,27,7
0.0,27,9
0.0,27,10
0.0,27,11
0.0,27,12
0.0,27,13
0.0,27,15
0.0,27,16
0.0,27,17
0.0,27,18
0.0,27,19
0.0,27,20
0.0,27,21
0.0,27,22
0.0,27,23
0.0019,27,24
0.0,27,25
0.0093,27,26
0.963,27,27
0.013,27,28
0.0,27,29
0.0019,27,30
0.0,27,31
0.0,27,32
0.0,27,33
0.0,27,34
0.0,27,35
0.0,27,36
0.0,27,37
0.0,27,38
0.0,27,39
0.0,27,40
0.0,27,41
0.0,27,42
0.0,27,45
0.0,27,46
0.0,27,47
0.0,27,48
0.0,27,50
0.0,27,51
0.0,27,52
0.0,27,53
0.0019,27,58
0.0,27,60
0.0,27,61
0.0,27,63
0.0,27,66
0.0,27,67
0.0,27,69
0.0,27,70
0.0,27,71
0.0,27,72
0.0,27,82
0.0,27,83
0.0,27,87
0.0,27,90
0.0,27,92
0.0093,27,93
0.0,27,96
0.0,27,97
0.0,27,98
0.0,27,99
0.0,27,100
0.0,27,108
0.0,27,109
0.0,27,110
0.0,27,111
0.0,28,1
0.0,28,2
0.0,28,3
0.0,28,4
0.0,28,5
0.0,28,6
0.0,28,7
0.0,28,9
0.0,28,10
0.0,28,12
0.0,28,13
0.0,28,14
0.0,28,15
0.0,28,16
0.0,28,17
0.0,28,18
0.0,28,19
0.0,28,20
0.0,28,21
0.0,28,22
0.0015,28,23
0.0091,28,24
0.0,28,25
0.003,28,26
0.0136,28,27
0.9667,28,28
0.0061,28,29
0.0,28,30
0.0,28,31
0.0,28,32
0.0,28,33
0.0,28,34
0.0,28,35
0.0,28,36
0.0,28,37
0.0,28,38
0.0,28,39
0.0,28,40
0.0,28,41
0.0,28,42
0.0,28,44
0.0,28,46
0.0,28,47
0.0,28,48
0.0,28,49
0.0,28,50
0.0,28,51
0.0,28,52
0.0,28,53
0.0,28,54
0.0,28,55
0.0,28,56
0.0,28,57
0.0,28,58
0.0,28,59
0.0,28,60
0.0,28,61
0.0,28,63
0.0,28,65
0.0,28,66
0.0,28,67
0.0,28,68
0.0,28,70
0.0,28,71
0.0,28,72
0.0,28,78
0.0,28,87
0.0,28,93
0.0,28,96
0.0,28,97
0.0,28,98
0.0,28,99
0.0,28,100
0.0,28,103
0.0,28,108
0.0,29,1
0.0,29,4
0.0,29,6
0.0,29,12
0.0,29,15
0.0,29,16
0.0,29,17
0.0,29,18
0.0,29,19
0.0055,29,20
0.0,29,21
0.0,29,22
0.0,29,23
0.0055,29,24
0.0,29,25
0.0,29,26
0.0055,29,27
0.011,29,28
0.9451,29,29
0.0,29,30
0.0,29,31
0.0,29,33
0.0,29,34
0.0,29,35
0.0,29,36
