,2020-01-18,Origin,Destination
1191,0.0163,21,23
1192,0.0,21,24
1193,0.0163,21,25
1194,0.0,21,26
1195,0.0,21,27
1196,0.0,21,28
1197,0.0,21,29
1198,0.0,21,30
1199,0.0,21,31
1200,0.0,21,33
1201,0.0,21,34
1202,0.0,21,35
1203,0.0,21,36
1204,0.0,21,37
1205,0.0,21,38
1206,0.0,21,39
1207,0.0,21,40
1208,0.0,21,41
1209,0.0,21,42
1210,0.0,21,43
1211,0.0,21,45
1212,0.0,21,46
1213,0.0,21,48
1214,0.0,21,50
1215,0.0,21,51
1216,0.0,21,52
1217,0.0,21,55
1218,0.0,21,56
1219,0.0,21,58
1220,0.0,21,60
1221,0.0,21,63
1222,0.0,21,64
1223,0.0,21,69
1224,0.0,21,75
1225,0.0,21,93
1226,0.0,21,96
1227,0.0,21,97
1228,0.0,21,98
1229,0.0,21,99
1230,0.0,21,103
1231,0.0,21,108
1232,0.0,21,109
1233,0.0,22,1
1234,0.0,22,2
1235,0.0,22,3
1236,0.0,22,4
1237,0.0,22,5
1238,0.0,22,6
1239,0.0,22,7
1240,0.0,22,8
1241,0.0,22,9
1242,0.0,22,10
1243,0.0,22,11
1244,0.0,22,12
1245,0.0,22,13
1246,0.0,22,14
1247,0.0013,22,15
1248,0.0013,22,16
1249,0.0134,22,17
1250,0.0,22,18
1251,0.0,22,19
1252,0.004,22,20
1253,0.0201,22,21
1254,0.9088,22,22
1255,0.0161,22,23
1256,0.0134,22,24
1257,0.008,22,25
1258,0.0,22,26
1259,0.0013,22,27
1260,0.004,22,28
1261,0.0,22,29
1262,0.0,22,30
1263,0.0,22,32
1264,0.0,22,33
1265,0.0013,22,34
1266,0.0,22,35
1267,0.0013,22,36
1268,0.0027,22,37
1269,0.0,22,38
1270,0.0,22,39
1271,0.0,22,40
1272,0.0,22,41
1273,0.0013,22,42
1274,0.0,22,43
1275,0.0,22,44
1276,0.0013,22,46
1277,0.0,22,48
1278,0.0,22,49
1279,0.0,22,50
1280,0.0,22,51
1281,0.0,22,52
1282,0.0,22,55
1283,0.0,22,58
1284,0.0,22,59
1285,0.0,22,66
1286,0.0,22,67
1287,0.0,22,69
1288,0.0,22,71
1289,0.0,22,72
1290,0.0,22,79
1291,0.0,22,80
1292,0.0,22,90
1293,0.0,22,93
1294,0.0,22,96
1295,0.0,22,97
1296,0.0,22,98
1297,0.0,22,99
1298,0.0,22,108
1299,0.0,22,109
1300,0.0015,23,1
1301,0.0,23,2
1302,0.0,23,3
1303,0.0015,23,4
1304,0.0,23,5
1305,0.0,23,6
1306,0.0,23,7
1307,0.0,23,9
1308,0.0,23,10
1309,0.0,23,11
1310,0.0015,23,12
1311,0.0,23,13
1312,0.0,23,14
1313,0.0015,23,15
1314,0.0029,23,16
1315,0.0218,23,17
1316,0.0,23,18
1317,0.0029,23,19
1318,0.0392,23,20
1319,0.0058,23,21
1320,0.0174,23,22
1321,0.8096,23,23
1322,0.0349,23,24
1323,0.0,23,25
1324,0.0029,23,26
1325,0.0044,23,27
1326,0.016,23,28
1327,0.0116,23,29
1328,0.0,23,30
